model,metric,early_mean,mid_mean,late_mean
dream-v0-instruct-7b_4_steps,spectral_entropies,4.343421897612678,3.9589936049652095,4.144349263765812
dream-v0-instruct-7b_4_steps,effective_ranks,97.70742222222222,96.3403,100.69601
dream-v0-instruct-7b_4_steps,trace_covariances,414.69432992409133,6319.322377449951,17907.756684531247
dream-v0-instruct-7b_4_steps,gradient_norms,119330.55048236034,473565.06518544944,911860.9128545371
dream-v0-instruct-7b_8_steps,spectral_entropies,4.343421897612678,3.9589936049652095,4.144349263765812
dream-v0-instruct-7b_8_steps,effective_ranks,97.70742222222222,96.3403,100.69601
dream-v0-instruct-7b_8_steps,trace_covariances,414.69432992409133,6319.322377449951,17907.756684531247
dream-v0-instruct-7b_8_steps,gradient_norms,119330.55048236034,473565.06518544944,911860.9128545371
dream-v0-instruct-7b-hint,spectral_entropies,4.875918892126613,4.4905756290102,4.654606665086746
dream-v0-instruct-7b-hint,effective_ranks,169.2133111111111,145.58347,168.98409
dream-v0-instruct-7b-hint,trace_covariances,659.3035546158493,9062.387205023195,20716.888655449216
dream-v0-instruct-7b-hint,gradient_norms,217797.215566412,967399.8254118623,1743846.016381755
dream-v0-instruct-7b,spectral_entropies,4.343421897612678,3.9589936049652095,4.144349263765812
dream-v0-instruct-7b,effective_ranks,97.70742222222222,96.3403,100.69601
dream-v0-instruct-7b,trace_covariances,414.69432992409133,6319.322377449951,17907.756684531247
dream-v0-instruct-7b,gradient_norms,119330.55048236034,473565.06518544944,911860.9128545371
falcon-H1-34B-Instruct,spectral_entropies,3.278539970036347,2.9950395093798634,3.9107966093254087
falcon-H1-34B-Instruct,effective_ranks,52.510962500000005,39.36219166666667,100.7061
falcon-H1-34B-Instruct,trace_covariances,491803.4882616435,1073542.7701289062,1274920.1330950002
falcon-H1-34B-Instruct,gradient_norms,5215992.542025708,9552780.711247383,13798520.704833003
falcon-H1-7B-Instruct-hint,spectral_entropies,4.646831792329151,4.443777116187413,4.7574079272079475
falcon-H1-7B-Instruct-hint,effective_ranks,151.51062666666667,143.71574666666666,184.19445333333334
falcon-H1-7B-Instruct-hint,trace_covariances,30366.260943717443,105183.48279502602,255291.57750281246
falcon-H1-7B-Instruct-hint,gradient_norms,1893639.7481611744,4031414.0378826926,10546779.236873396
falcon-H1-7B-Instruct,spectral_entropies,4.064243765719732,3.768200854926109,4.191175593004227
falcon-H1-7B-Instruct,effective_ranks,96.54143333333333,91.88496666666667,109.71988000000003
falcon-H1-7B-Instruct,trace_covariances,48773.19450490886,170879.2769252604,335746.94739010424
falcon-H1-7B-Instruct,gradient_norms,1313213.6773970465,2887577.139743413,6463659.129559564
falcon-h1-7B,spectral_entropies,4.2304561419772595,4.002748753128554,4.36156682799433
falcon-h1-7B,effective_ranks,110.74409906494819,108.74091483447056,131.07990902198634
falcon-h1-7B,trace_covariances,41875.93347792974,123769.09068107154,266940.5452469516
falcon-h1-7B,gradient_norms,1481180.4802816415,3003811.675202242,7477122.711065525
qwen2-5-32B,spectral_entropies,2.701284654678698,2.603294278474537,3.551657180765099
qwen2-5-32B,effective_ranks,36.02917072818513,12.977737955751603,72.998759390723
qwen2-5-32B,trace_covariances,4401484.925027084,6477150.406325385,6159411.815446111
qwen2-5-32B,gradient_norms,16106506.443532396,22932182.69583489,22103588.38140335
qwen2_5_32b_instruct_hint,spectral_entropies,3.153302314335959,3.1291695747267116,4.014077947510373
qwen2_5_32b_instruct_hint,effective_ranks,48.94196666666666,15.479377272727275,94.96761363636364
qwen2_5_32b_instruct_hint,trace_covariances,3121883.016525967,4737516.335242047,4500377.339116602
qwen2_5_32b_instruct_hint,gradient_norms,19321192.708435744,27907845.10730653,27299580.176564135
qwen2_5_32b_instruct,spectral_entropies,2.4595437827184083,2.257940528113192,3.194963946386901
qwen2_5_32b_instruct,effective_ranks,29.688495238095236,10.185954545454546,57.119445454545456
qwen2_5_32b_instruct,trace_covariances,5511180.777119799,8350473.389327272,7796588.6091552405
qwen2_5_32b_instruct,gradient_norms,14515260.407764971,20988691.058588658,20050448.108418584
qwen2-5-3B,spectral_entropies,3.3066681884954097,3.4200796418970874,4.075067131555608
qwen2-5-3B,effective_ranks,50.41799342936568,59.21904220368967,110.2479734064268
qwen2-5-3B,trace_covariances,84353.34232145375,123253.51400529321,101808.38394733318
qwen2-5-3B,gradient_norms,1456852.5506777887,2014834.6504627073,1948828.5147929331
qwen2_5_3b_instruct_hint,spectral_entropies,3.8021498769144215,3.939287538862228,4.5370877542092245
qwen2_5_3b_instruct_hint,effective_ranks,68.75105833333333,79.563575,152.67086923076923
qwen2_5_3b_instruct_hint,trace_covariances,59138.36173010614,86872.76455885416,65757.51743308293
qwen2_5_3b_instruct_hint,gradient_norms,1739960.2079222656,2409194.059508842,2309620.9018000965
qwen2_5_3b_instruct,spectral_entropies,3.0241720013280715,3.1015940415124095,3.823283722076049
qwen2_5_3b_instruct,effective_ranks,41.248475,50.14088333333333,89.51792307692307
qwen2_5_3b_instruct,trace_covariances,103891.76882275987,151442.64800397135,108570.42984038462
qwen2_5_3b_instruct,gradient_norms,1300694.9698040867,1798336.7512230508,1606381.220764685
